ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_Large,Classify_Red,Classify_Small,Classify_Tiny,Classify_White,Intensity_IntegratedIntensityEdge_SubtractedRed,Intensity_IntegratedIntensity_SubtractedRed,Intensity_LowerQuartileIntensity_SubtractedRed,Intensity_MADIntensity_SubtractedRed,Intensity_MassDisplacement_SubtractedRed,Intensity_MaxIntensityEdge_SubtractedRed,Intensity_MaxIntensity_SubtractedRed,Intensity_MeanIntensityEdge_SubtractedRed,Intensity_MeanIntensity_SubtractedRed,Intensity_MedianIntensity_SubtractedRed,Intensity_MinIntensityEdge_SubtractedRed,Intensity_MinIntensity_SubtractedRed,Intensity_StdIntensityEdge_SubtractedRed,Intensity_StdIntensity_SubtractedRed,Intensity_UpperQuartileIntensity_SubtractedRed,Location_CenterMassIntensity_X_SubtractedRed,Location_CenterMassIntensity_Y_SubtractedRed,Location_CenterMassIntensity_Z_SubtractedRed,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_SubtractedRed,Location_MaxIntensity_Y_SubtractedRed,Location_MaxIntensity_Z_SubtractedRed,Number_Object_Number
1,1,7,9,534,124,531,121,531.7142857142857,122.0,0.5300702784881366,7,0.377964473009227,2.985410660720923,1,0.7777777777777778,1.8865422955842652,3.0237157840738176,2.23606797749979,1.4142135623730951,1.0591733660532994,1.0,2.0,2.799416848895061,0.0,6.82842712474619,1.0,0,0,1,0,1,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,531.7142857142857,122.0,0,531.0,123.0,0.0,1
1,2,20,25,507,127,502,122,504.05,124.1,0.7420983898833913,21,0.3929526239966882,5.046265044040321,1,0.8,1.347530211131618,5.215361924162119,4.47213595499958,2.23606797749979,1.2946461113496084,1.0,4.0,4.795831523312719,-63.434948822922046,13.65685424949238,0.9523809523809523,0,0,1,0,1,0.018440663814544678,0.022031337022781372,0.0,0.0,1.410104833427281,0.004196375608444214,0.004196375608444214,0.0015367219845453899,0.0011015668511390685,0.0,0.0,0.0,0.0018119599881677325,0.0016786974863841773,0.0034053921699523926,503.8494607365042,125.49577206056416,0.0,504.05,124.1,0,502.0,125.0,0.0,2
1,3,21,25,554,126,549,121,550.8095238095239,123.14285714285714,0.7686911435047676,22,0.34400025467068873,5.170882945826411,1,0.84,1.3009126076835016,5.316632771645401,5.0,2.23606797749979,1.3085099364104322,1.0,4.0,4.992156306471802,-20.300647322502254,14.242640687119286,0.9545454545454546,0,0,1,0,1,0.18634742498397827,0.26903292536735535,0.00011996924877166748,0.005606785416603088,1.3252078825252727,0.04956534504890442,0.04956534504890442,0.014334417306459867,0.012811091684159778,0.005606785416603088,0.0,0.0,0.018858987825670356,0.01599979824332173,0.02265533059835434,550.7162392920012,124.46477768914488,0.0,550.8095238095239,123.14285714285714,0,551.0,125.0,0.0,3
1,4,53,64,583,130,575,122,578.4528301886793,125.20754716981132,0.9001698538649316,56,0.3776304896638072,8.214724333230155,1,0.828125,1.1109014545493185,8.531702974858208,8.06225774829855,4.0,1.762967932104216,1.4142135623730951,7.0,7.899984781626788,76.09876495493184,24.485281374238568,0.9464285714285714,0,0,1,0,1,0.2709297239780426,1.0331714749336243,0.009419508278369904,0.011549398303031921,0.6259936178624336,0.043100208044052124,0.043100208044052124,0.012314987453547392,0.019493801413841966,0.021347597241401672,0.0,0.0,0.013658931432955436,0.013041326359534094,0.030699118971824646,577.8623737080184,124.99963095098744,0.0,578.4528301886793,125.20754716981132,0,575.0,125.0,0.0,4
1,5,19,25,618,129,613,124,615.3684210526316,126.21052631578948,0.7811561998772539,20,0.3942680667296094,4.918490759365935,1,0.76,1.2801537005750372,5.127073205848133,4.47213595499958,2.23606797749979,1.2883530876115303,1.0,4.0,4.711757099842153,6.2644038545757486,13.65685424949238,0.95,0,0,1,0,1,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,615.3684210526316,126.21052631578948,0,617.0,125.0,0.0,5
1,6,9,9,495,130,492,127,493.0,128.0,0.5658842421045168,9,0.0,3.385137501286538,1,1.0,1.7671458676442586,3.265986323710904,2.8284271247461903,2.0,1.1111111111111112,1.0,2.0,3.265986323710904,45.0,8.0,1.0,0,0,1,0,1,0.0210706889629364,0.02383112907409668,0.0010894611477851868,0.0017139166593551636,0.6349239460950563,0.00653502345085144,0.00653502345085144,0.00263383612036705,0.0026479032304551867,0.0025546997785568237,0.0,0.0,0.0023790526167927306,0.0022433451818893485,0.005541019141674042,493.5480991446151,127.67950702816267,0.0,493.0,128.0,0,494.0,127.0,0.0,6
1,7,9,9,590,130,587,127,588.0,128.0,0.5658842421045168,9,0.0,3.385137501286538,1,1.0,1.7671458676442586,3.265986323710904,2.8284271247461903,2.0,1.1111111111111112,1.0,2.0,3.265986323710904,45.0,8.0,1.0,0,0,1,0,1,0.01640462875366211,0.01640462875366211,0.0,0.0,1.4142135623730951,0.01640462875366211,0.01640462875366211,0.0020505785942077637,0.0018227365281846789,0.0,0.0,0.0,0.005425321004066176,0.005155477437583244,0.0,589.0,129.0,0.0,588.0,128.0,0,589.0,129.0,0.0,7
1,8,4,4,647,129,645,127,645.5,127.5,0.3183098861837907,4,0.0,2.256758334191025,1,1.0,3.141592653589793,2.0,1.4142135623730951,1.0,1.0,1.0,1.0,2.0,45.0,4.0,1.0,0,0,0,1,1,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,645.5,127.5,0,645.0,127.0,0.0,8
1,9,84,100,558,135,548,125,552.5,129.6904761904762,0.9289233050302929,87,0.27635215799813,10.341765891652821,1,0.84,1.0765151381010827,10.572980899179093,10.295630140987,5.0,2.0990629173161146,2.0,9.0,10.161231404629486,-78.16091215915043,31.31370849898476,0.9655172413793104,1,1,0,0,0,1.133728563785553,6.669526010751724,0.047302305698394775,0.03565412759780884,0.3729291854220444,0.08027353882789612,0.1506284773349762,0.040490305849484036,0.07939911917561576,0.08027353882789612,0.01426669955253601,0.01426669955253601,0.01985239359185451,0.038772582514423864,0.11640173196792603,552.2503508824932,129.41343558791473,0.0,552.5,129.6904761904762,0,552.0,129.0,0.0,9
1,10,21,30,666,134,660,129,662.4285714285714,131.0952380952381,0.860714043705195,24,0.404475254109216,5.170882945826411,1,0.7,1.1618260528144841,5.425630528451305,5.0,2.23606797749979,1.3197512686723267,1.0,4.0,4.962004663927371,41.97290405294262,15.071067811865476,0.875,0,0,1,0,1,0.07933896780014038,0.12820589542388916,0.0011006221175193787,0.003992512822151184,0.8548434903922618,0.012760460376739502,0.012760460376739502,0.006102997523087721,0.0061050426392328175,0.008614793419837952,0.000661313533782959,0.000661313533782959,0.00464188006747474,0.004428274723177669,0.010236382484436035,662.0307528622396,131.85187392663107,0.0,662.4285714285714,131.0952380952381,0,661.0,133.0,0.0,10
